CLINIC,ADDRESS,PHONE,EMAIL
BARDENTA s.r.o.,Janouškova 579/4 613 00 BrnoTel.:  607 576 663E-mail:  bardenta@centrum.cz,  607 576 663,  bardenta@centrum.cz
BARRANDOV DENT s.r.o.,Krškova 807/21 152 00 Praha 5Tel.:  778508758E-mail:  barrandovdent@post.cz,  778508758,  barrandovdent@post.cz
Bártek Dent s.r.o.,S. K. Neumanna 611 684 01 Bílovice nad Svitavou,,
BB stomatologie s.r.o.,Polívkova 465/51 779 00 Olomouc,,
BC Dent s.r.o.,Smetanova 746 743 01 Bílovec,,
Bc. Monika Zeman Kyselová,Foerstrova 1656/3 500 02 Hradec Králové,,
B-Dent s.r.o.,Rudoleckého 909/8 669 02 ZnojmoTel.:  543210926,  543210926,
BEAUTY SMILE s.r.o.,Senovážné náměstí 980/22 110 00 Praha 1Tel.:  603330767,  603330767,
Bee Dent s.r.o.,Mariánská 845/50 470 01 Česká Lípa,,
Befany s.r.o.,Komenského 10 763 21 SlavičínTel.:  +420 771 167 069E-mail:  info@befany.cz,  +420 771 167 069,  info@befany.cz
Belgická Dent clinic s.r.o.,Belgická 131/16 120 00 Praha 2Tel.:  222518935,  222518935,
BellaDENTE s.r.o.,tř. 1. máje 1782 753 01 HraniceTel.:  774 272 747E-mail:  info@belladente.cz,  774 272 747,  info@belladente.cz
BellaDENTE s.r.o.,"náměstí Republiky 198/2 746 01 Opava, PředměstíTel.:  725393141E-mail:  info@belladente.cz",  725393141,  info@belladente.cz
BENADENT s.r.o.,Tepelská 867/3a 353 01 Mariánské Lázně - Úšovice,,
"Bendent, s.r.o.",Smetanova 25/19 294 71 Benátky nad JizerouTel.:  326316516,  326316516,
BeneDent ordinace s.r.o.,Šternberská 4 783 91 UničovTel.:  585051173E-mail:  ordinace@benedent.cz,  585051173,  ordinace@benedent.cz
BeneSmile s.r.o.,Tyršova 2071 256 01 Benešov,,
Beníček stomatologie s.r.o.,V Teničkách 640 686 01 Uherské HradištěTel.:  736530160,  736530160,
Best Smile s.r.o.,K Nové škole 1299 156 00 Praha 5Tel.:  257921653,  257921653,
BESTDENT s.r.o.,Palackého třída 3048/124 612 00 BrnoTel.:  777 870 870,  777 870 870,
BEV Dent s.r.o.,Heldovo náměstí 594 503 46 Třebechovice pod OrebemTel.:  495593915,  495593915,
BEZ KAZU s.r.o.,Čechova 3088/15a 690 02 Břeclav,,
BFM-DENT s.r.o.,Bělehradská 383/122 120 00 Praha 2,,
BH Dentist s.r.o.,Uherova 958 253 03 Chýně,,
BH Odonto s.r.o.,Počátecká 311 378 56 StudenáTel.:  721044024,  721044024,
"Bic-Dent, spol. s r.o.",Kumburská 750 509 01 Nová PakaTel.:  493723347,  493723347,
Bieganska s.r.o.,Smetanova 1941/9 750 02 PřerovTel.:  581201837,  581201837,
BIODENT-TUR s.r.o.,"Uruguayská 344/13 120 00 Praha 2 - VinohradyTel.:  222542332, 776428606","  222542332, 776428606",
BIONdent s.r.o.,Sobědružská 39/3 417 12 Proboštov,,
BISTRODENT spol. s r.o.,Rooseveltova 147/20 779 00 OlomoucTel.:  585221155,  585221155,
BitterDent s.r.o.,Purkyňova 632/19 301 00 PlzeňTel.:  608560079E-mail:  BitterDent@seznam.cz,  608560079,  BitterDent@seznam.cz
BK DENT s.r.o.,U Kostela 62/4 679 04 AdamovTel.:  516446428,  516446428,
BK Implant Czech s.r.o.,U Stromovky 1568/9a 736 01 HavířovTel.:  555301151,  555301151,
BlackDental s.r.o.,Klíšská 981/79 400 01 Ústí nad LabemTel.:  475200197,  475200197,
Bladent NMNM s.r.o.,Štursova 111 592 31 Nové Město na MoravěTel.:  566 616 904E-mail:  info@bladent.cz,  566 616 904,  info@bladent.cz
Blahodent s.r.o.,Vratimovská 689/117 719 00 OstravaTel.:  595686922,  595686922,
Bluedent s.r.o.,Jihomoravské náměstí 1098/1 627 00 Brno - SlatinaTel.:  545217001,  545217001,
BN DENT s.r.o.,Pražská 290 259 01 VoticeTel.:  317813272,  317813272,
BO - DENT s.r.o.,270 61 Lány 418,,
BO - DENT s.r.o.,Mšecká 462 271 01 Nové StrašecíTel.:  313573111E-mail:  bo-dent@seznam.cz,  313573111,  bo-dent@seznam.cz
"Bočková Zubní, spol. s r.o.",nám. ČSČK 38 679 72 KunštátTel.:  516462203,  516462203,
BOHEM DENT s.r.o.,Řeznická 166/2 460 01 Liberec 1,,
BohemiaDent s.r.o.,Doudova 652/10 147 00 Praha 4,,
Bohumínská městská nemocnice a.s.,Čáslavská 1176 735 81 BohumínTel.:  596 096 476,  596 096 476,
Bondar Oleksandr,Lovosická 440/40 190 00 Praha 9Tel.:  776343448,  776343448,
Bono DENT s.r.o.,náměstí Míru 350/2a 767 01 KroměřížTel.:  573342685E-mail:  bonodent@centrum.cz,  573342685,  bonodent@centrum.cz
Bonus Dental s.r.o.,Klimšova 1756 735 41 PetřvaldTel.:  608 084 460,  608 084 460,
BOS DENT s.r.o.,Jaroslava Vacka 94 390 03 TáborTel.:  381231520,  381231520,
Bozadziev s.r.o.,Lesní 268 390 01 TáborTel.:  381251464E-mail:  ilja@bozadziev.net,  381251464,  ilja@bozadziev.net
BRAZDA DENTAL s.r.o.,Bořivojova 540/30a 779 00 OlomoucTel.:  607068020,  607068020,
BREG s.r.o.,"Pražská 221 276 01 MělníkTel.:  315639432, 606549901E-mail:  igor.denisov@seznam.cz","  315639432, 606549901",  igor.denisov@seznam.cz
BrigiDent s.r.o.,Tyršova 63/18 397 01 Písek,,
British Medical Group s.r.o.,Soukalova 3355/3 143 00 Praha 4,,
BRIXdent s.r.o.,Hradební 1258 500 03 Hradec Králové,,
BRIXdent s.r.o.,Šimkova 1223/2a 500 03 Hradec KrálovéTel.:  495537249,  495537249,
Brom&Dent s.r.o.,"Dubská 3314 415 01 TepliceTel.:  417562074, 604609773","  417562074, 604609773",
"Břeňovi a Makris, s.r.o.",Březinova 1002/ 5 794 01 KrnovTel.:  554612040,  554612040,
"Břeňovi a Makris, s.r.o.",Mikulášská 907/ 25 794 01 KrnovTel.:  554614575,  554614575,
"B-smiledent s.r.o. - V rovinách 1169/56, Praha 4",V rovinách 1169/56 140 00 Praha 4,,
Buchta TEaM Dent s.r.o.,Rooseveltova 1359/14 746 01 OpavaTel.:  553620263,  553620263,
"Bulovka Dental Clinic, a.s.",Chlumčanského 497/5 180 00 Praha 8Tel.:  733 143 111E-mail:  recepce@bulovkadc.com,  733 143 111,  recepce@bulovkadc.com
Buriak Volodymyr,Nad kolonií 503/1 140 00 Praha 4Tel.:  777350524E-mail:  vladimir.buriak@atlas.cz,  777350524,  vladimir.buriak@atlas.cz
BUVEUS s.r.o.,Krajířova 137/2 293 01 Mladá BoleslavTel.:  732488883E-mail:  tvujstomatolog@gmail.com,  732488883,  tvujstomatolog@gmail.com
C - ORTO s.r.o.,Francouzská třída 2080/4 326 00 Plzeň,,
C4Dent s.r.o.,Gorkého 85/42 614 00 Brno,,
Canadian Medical Care,Evropská 859/115a 160 00 Praha 6,,
Canadian Medical s.r.o.,Jánská 2 602 00 BrnoTel.:  222 300 300,  222 300 300,
Canadian Medical s.r.o.,Lomnického 1705/5 140 00 Praha 4Tel.:  222300300,  222300300,
Canadian Medical s.r.o.,Sokolovská 192/79 180 00 Praha 8 - KarlínTel.:  234630111,  234630111,
Canadian Medical s.r.o.,Na Poříčí 1041/12 110 00 Praha 1Tel.:  222300300,  222300300,
Canadian Medical s.r.o.,Evropská 859/115a 160 00 Praha 6,,
CARE & CURE Clinic s.r.o.,Bolzanova 1679/3 110 00 Praha 1,,
CARE DENT s.r.o.,"Kroftova 342/3 150 00 Praha 5Tel.:  257 324 012, 702 955 495E-mail:  ordinace@zubnivila.eu","  257 324 012, 702 955 495",  ordinace@zubnivila.eu
CARE MEDICO s.r.o.,Sokolovská 131/86 186 00 Praha 8Tel.:  225990990E-mail:  info@caremedico.cz,  225990990,  info@caremedico.cz
CARE MEDICO s.r.o.,Wilsonova 301/10 110 00 Praha 2Tel.:  225 990 990E-mail:  recepce@dentmedico.cz,  225 990 990,  recepce@dentmedico.cz
CARE MEDICO s.r.o.,Urešova 1757 148 00 Praha 4Tel.:  225990990,  225990990,
CARE MEDICO SERVICES s.r.o.,Sokolovská 131/86 186 00 Praha 8,,
CARPE-DENT s.r.o.,Pickova 1483 562 01 Ústí nad Orlicí,,
CB Dent 32 s.r.o.,Riegrova 479 378 10 České VeleniceTel.:  777346865,  777346865,
C-Dental s.r.o.,Nová 956 334 41 Dobřany,,
Cenessto s.r.o.,Lidická 965/31 602 00 BrnoTel.:  543217513E-mail:  krejci@cenessto.cz,  543217513,  krejci@cenessto.cz
CENTROSAN s.r.o.,Pivovarská 1820 509 01 Nová PakaTel.:  493723004,  493723004,
"Centrum estetické medicíny, s.r.o.","Krakovská 8 110 00 Praha 1Tel.:  222211208, 222211207,222211206","  222211208, 222211207,222211206",
"Centrum estetik-life.cz, spol. s r.o.","Sluneční náměstí 2588/14 158 00 Praha 5Tel.:  775290001, 702181303E-mail:  estetik-life.praha@seznam.cz","  775290001, 702181303",  estetik-life.praha@seznam.cz
"Centrum orálního zdraví, o.p.s.",Palachova 700/35 400 01 Ústí nad Labem,,
Centrum stomatologie a ortodoncie s.r.o.,Podkrušnohorská 1039 436 01 LitvínovTel.:  476753063,  476753063,
"Centrum stomatologie, s.r.o.",Dřevěná 478/9 353 01 Mariánské LázněTel.:  354624145,  354624145,
CENTRUM ÚSMĚVU s.r.o.,Letců 965/31 779 00 OlomoucTel.:  777025407,  777025407,
Centrum zdravého úsměvu s.r.o.,751 05 Kokory č. 2,,
Centrum zdraví Kyjov s.r.o.,třída Komenského 616/16 697 01 KyjovTel.:  518326635,  518326635,
Centrum zdravotních služeb Bechyně,391 65 BechyněTel.:  973307219,  973307219,
Centrum zdravotních služeb Prostějov,Letecká 1 796 01 ProstějovTel.:  973411641,  973411641,
Centrum zdravých zubů s.r.o.,Pražská třída 142/102 500 04 Hradec Králové,,
Centrum zdravých zubů s.r.o.,Hradecká 621 503 31 Vysoká nad Labem,,
Centrum zubní chirurgie s.r.o.,Pod Marjánkou 1906/12 169 00 Praha 6Tel.:  777631397E-mail:  recepce@czch.cz,  777631397,  recepce@czch.cz
"Centrum zubní péče Alma, s.r.o.",Masarykova 1071 560 02 Česká TřebováTel.:  731784643E-mail:  info@centrumalma.cz,  731784643,  info@centrumalma.cz
Centrum zubní péče VIK-DENT s.r.o.,B. Němcové 2771/3 787 01 Šumperk,,
Centrum zubní prevence s.r.o.,Pod Haldou 64 266 01 Beroun-Závodí,,
Ceramic Dent s.r.o.,Krškova 807/21 152 00 Praha 5,,
CERCE s.r.o.,Jakubská 2 602 00 Brno,,
"CERDENT, s.r.o.","Alešova 767 252 28 ČernošiceTel.:  251550438, 602192194","  251550438, 602192194",
CESMED s.r.o.,"Vančurova 743 293 01 Mladá BoleslavTel.:  721210140, 326723001","  721210140, 326723001",
City Dental Care s.r.o.,Zavadilova 1296/5 160 00 Praha 6Tel.:  737351057E-mail:  karlicek@cdcklinika.cz,  737351057,  karlicek@cdcklinika.cz
City Dental Klinik s.r.o.,Stroupežnického 1370/7 400 01 Ústí nad Labem,,
CJ - Dental Clinic s.r.o.,Sládkovičova 1236/15 142 00 Praha 4,,
ClaraDent zubní ordinace s.r.o.,Havelkova 337/10 789 83 LošticeTel.:  775399361,  775399361,
Clean Dent s.r.o.,Duchcovská 962/53 434 01 Teplice,,
Clean Dent s.r.o.,Nádražní 774/1 434 01 MostTel.:  777 551 776E-mail:  cleandent.sro@seznam.cz,  777 551 776,  cleandent.sro@seznam.cz
CLINIC FAMILYDENT s.r.o.,"Pod Klamovkou 472/7 150 00 Praha 5Tel.:  257211147, 777231430E-mail:  familydent@email.cz","  257211147, 777231430",  familydent@email.cz
